dataset,K,model,model_display,seed,test_rmse,test_mae,test_pearson,time_s,params
esol,5,gcn-ds,GCN+DeepSets,0,6.68812894821167,6.01333475112915,0.7757786512374878,3.1504738529984024,187266
esol,5,gcn-st,GCN+SetTransformer,0,7.104973793029785,6.128910541534424,0.5157303214073181,1.9132856220021495,220930
esol,5,gsc-bc,GraphSetConv-Broadcast,0,6.772756099700928,6.173277854919434,0.8149251937866211,16.63960585300083,1178245
esol,5,gsc-ca,GraphSetConv-CrossAttn,0,7.305415153503418,6.640485763549805,0.7771994471549988,19.341120914003113,1378309
esol,10,gcn-ds,GCN+DeepSets,0,6.646442413330078,5.711822032928467,0.6883357167243958,1.6743600600020727,187266
esol,10,gcn-st,GCN+SetTransformer,0,6.749398231506348,5.707721710205078,0.4663451313972473,1.7821007509992342,220930
esol,10,gsc-bc,GraphSetConv-Broadcast,0,7.243415832519531,6.5875468254089355,0.7828916311264038,17.368033217004267,1178245
esol,10,gsc-ca,GraphSetConv-CrossAttn,0,7.288543701171875,6.518353462219238,0.7504721283912659,28.237019353000505,1378309
