dataset,K,model,model_display,rmse_mean,rmse_ci95,mae_mean,mae_ci95,pearson_mean,pearson_ci95,params,hidden,n_seeds,time_s_mean
esol,5,gcn-ds,GCN+DeepSets,6.68812894821167,nan,6.01333475112915,nan,0.7757786512374878,nan,187266,128,1,3.1504738529984024
esol,5,gcn-st,GCN+SetTransformer,7.104973793029785,nan,6.128910541534424,nan,0.5157303214073181,nan,220930,128,1,1.9132856220021495
esol,5,gsc-bc,GraphSetConv-Broadcast,6.772756099700928,nan,6.173277854919434,nan,0.8149251937866211,nan,1178245,128,1,16.63960585300083
esol,5,gsc-ca,GraphSetConv-CrossAttn,7.305415153503418,nan,6.640485763549805,nan,0.7771994471549988,nan,1378309,128,1,19.341120914003113
esol,10,gcn-ds,GCN+DeepSets,6.646442413330078,nan,5.711822032928467,nan,0.6883357167243958,nan,187266,128,1,1.6743600600020727
esol,10,gcn-st,GCN+SetTransformer,6.749398231506348,nan,5.707721710205078,nan,0.4663451313972473,nan,220930,128,1,1.7821007509992342
esol,10,gsc-bc,GraphSetConv-Broadcast,7.243415832519531,nan,6.5875468254089355,nan,0.7828916311264038,nan,1178245,128,1,17.368033217004267
esol,10,gsc-ca,GraphSetConv-CrossAttn,7.288543701171875,nan,6.518353462219238,nan,0.7504721283912659,nan,1378309,128,1,28.237019353000505
