model_key,model_name,seed,hidden,params,rmse,mae,r2,wall_seconds,EA_rmse,EA_mae,EA_r2,IP_rmse,IP_mae,IP_r2
gsc-v1-ca,GraphSetConv-V1,0,56,131157,0.16675031185150146,0.1176050640642643,0.8910109060986924,34.7,0.16277919709682465,0.12142779678106308,0.880150580293429,0.17072142660617828,0.11378233134746552,0.9018712319039559
gsc-v2-ca,GraphSetConv-V2-CrossAttn,0,52,146853,0.15500760078430176,0.10557156801223755,0.9057820024693398,67.5,0.1515718400478363,0.11184120923280716,0.8960857336771202,0.1584433615207672,0.09930192679166794,0.9154782712615595
gsc-v3-ca,GraphSetConv-V3,0,44,137238,0.20594415813684464,0.12539171800017357,0.8362696900817875,75.39,0.1769847720861435,0.1382569968700409,0.8583195672509645,0.23490354418754578,0.11252643913030624,0.8142198129126106
gcn-ds,GCN+DeepSets,0,128,138114,0.1653750017285347,0.1131204403936863,0.8911466837205892,32.3,0.16997334361076355,0.12303382903337479,0.8693228282337144,0.16077665984630585,0.1032070517539978,0.912970539207464
gcn-st,GCN+SetTransformer,0,128,270978,0.14838775992393494,0.10463636368513107,0.9118492216907257,52.28,0.15490920841693878,0.11795015633106232,0.8914592968979901,0.1418663114309311,0.09132257103919983,0.9322391464834614
