model_key,model_name,framing,seed,rmse,pearson,params,wall_seconds,rmse__Bushdid,pearson__Bushdid,n__Bushdid,rmse__Ravia 1,pearson__Ravia 1,n__Ravia 1,rmse__Ravia 2,pearson__Ravia 2,n__Ravia 2,rmse__Snitz 1,pearson__Snitz 1,n__Snitz 1,rmse__Snitz 2,pearson__Snitz 2,n__Snitz 2
gcn-ds,GCN+DeepSets,siamese,0,0.14997665584087372,0.005260876711606477,12866,4.5,0.18122631311416626,-0.022175892920424777,42,0.11880334466695786,-0.022474585344292874,13,0.12081633508205414,0.3719936179902686,16,0.14473594725131989,0.2424272720632486,16,0.09335663169622421,0.28816819275170796,12
gcn-ds,GCN+DeepSets,joint,0,0.1503901183605194,0.07554208600353933,9794,5.49,0.1913645714521408,-0.0063313198807003115,42,0.11806029081344604,-0.12217879371788573,13,0.12161913514137268,0.5591492055583133,16,0.11192239075899124,0.6172867147521167,16,0.09220615029335022,0.08729089635377947,12
gcn-st,GCN+SetTransformer,siamese,0,0.1409999281167984,0.35469977160528243,21506,20.02,0.17241430282592773,0.35731726794993696,42,0.12770771980285645,0.361862008735682,13,0.08457569032907486,0.7487673603387078,16,0.13529089093208313,0.31908917858439373,16,0.06936006247997284,0.7909066435079755,12
gcn-st,GCN+SetTransformer,joint,0,0.15443308651447296,-0.12147360320005603,18434,4.85,0.181632861495018,-0.10559965293541111,42,0.1319323629140854,-0.40991910722559605,13,0.13034167885780334,-0.2750077444198387,16,0.14341166615486145,-0.13494774987007407,16,0.11435514688491821,0.197387538933445,12
gsc-bc,GraphSetConv-Broadcast,siamese,0,0.12787514925003052,0.5706054962125332,34244,25.55,0.17149846255779266,0.49546038817142807,42,0.0976426899433136,0.6065518874321084,13,0.048491936177015305,0.9514147739754417,16,0.10464228689670563,0.5533017005608157,16,0.057146523147821426,0.7940115817693816,12
gsc-bc,GraphSetConv-Broadcast,joint,0,0.14838378131389618,-0.11424669582164797,31172,9.46,0.1829419583082199,-0.21118481069093473,42,0.11771716177463531,-0.007107214176494827,13,0.1237272173166275,-0.22023840461039773,16,0.12627936899662018,-0.058686865003831155,16,0.09169220179319382,0.4754212936076563,12
gsc-ca,GraphSetConv-CrossAttn,siamese,0,0.15269163250923157,0.37321019236048714,42820,41.53,0.19927063584327698,0.36624856183808835,42,0.09829296171665192,0.5678486990718101,13,0.11871270835399628,0.7668545285193119,16,0.12214954197406769,0.2660021656437055,16,0.05171883851289749,0.841941803068485,12
gsc-ca,GraphSetConv-CrossAttn,joint,0,0.14907097816467285,-0.10725777237944899,39748,31.62,0.18002313375473022,-0.12455595670957208,42,0.12251420319080353,-0.18822568630203063,13,0.1243106946349144,0.03557766759246079,16,0.13272081315517426,-0.1046143761604279,16,0.10115966200828552,0.12919812770920178,12
