model_key,model_name,framing,seed,rmse,pearson,params,wall_seconds,rmse__Bushdid,pearson__Bushdid,n__Bushdid,rmse__Ravia 1,pearson__Ravia 1,n__Ravia 1,rmse__Ravia 2,pearson__Ravia 2,n__Ravia 2,rmse__Snitz 1,pearson__Snitz 1,n__Snitz 1,rmse__Snitz 2,pearson__Snitz 2,n__Snitz 2
gsc-bc,GraphSetConv-Broadcast,siamese,0,0.12163158506155014,0.5668150344206261,14500,46.16,0.15873703360557556,0.5143121793960478,42,0.09481783211231232,0.6077327818692835,13,0.061996012926101685,0.8725781437022404,16,0.1060883104801178,0.6590151841395605,16,0.039406146854162216,0.9334655613214635,12
gsc-bc,GraphSetConv-Broadcast,joint,0,0.13586564362049103,0.4603461945583044,14532,59.24,0.1777927577495575,0.39723708613704717,42,0.09512192755937576,0.6039920427422459,13,0.07872811704874039,0.8317111151756164,16,0.09938932210206985,0.6468477430750602,16,0.06691239029169083,0.7171321579242868,12
gsc-ca,GraphSetConv-CrossAttn,siamese,0,0.1387947052717209,0.4220128168603137,16836,108.2,0.1765638142824173,0.35996201801906125,42,0.09942843019962311,0.6302281230263507,13,0.08184778690338135,0.8633679240157311,16,0.1363062560558319,0.18509444898081195,16,0.06399822235107422,0.8187211871969815,12
gsc-ca,GraphSetConv-CrossAttn,joint,0,0.14837999641895294,0.1966794531698569,16868,87.53,0.17823882400989532,0.2583578721344585,42,0.14748239517211914,-0.062197219785075225,13,0.1055850088596344,0.6374910532963995,16,0.12316709756851196,0.3095488775131403,16,0.12081321328878403,-0.2760417868351246,12
gcn-ds,GCN+DeepSets,siamese,0,0.14997665584087372,0.005260876711606477,12866,6.08,0.18122631311416626,-0.022175892920424777,42,0.11880334466695786,-0.022474585344292874,13,0.12081633508205414,0.3719936179902686,16,0.14473594725131989,0.2424272720632486,16,0.09335663169622421,0.28816819275170796,12
gcn-ds,GCN+DeepSets,joint,0,0.13863863050937653,0.4102423428223056,12930,16.17,0.1806553304195404,0.40942701235690054,42,0.11207331717014313,0.4087793714222682,13,0.09178957343101501,0.7159094810702533,16,0.10653673112392426,0.5664857774621683,16,0.05909741669893265,0.7746297385941703,12
gcn-st,GCN+SetTransformer,siamese,0,0.1409999281167984,0.35469977160528243,21506,29.22,0.17241430282592773,0.35731726794993696,42,0.12770771980285645,0.361862008735682,13,0.08457569032907486,0.7487673603387078,16,0.13529089093208313,0.31908917858439373,16,0.06936006247997284,0.7909066435079755,12
gcn-st,GCN+SetTransformer,joint,0,0.13911359012126923,0.3337162083722981,21570,16.9,0.17575183510780334,0.3670197572326565,42,0.11283615976572037,0.5176676507002989,13,0.09055957198143005,0.757289298992521,16,0.1193157210946083,0.45227603843285524,16,0.0835118517279625,0.6444880803378918,12
