protocol,model_key,model_name,seed,hidden,params,rmse,mae,r2,pearson,wall_seconds
random,gsc-bc,GraphSetConv-Broadcast,0,128,2318980,19.231280631053284,13.774732581079006,0.06572356803719859,0.3829728797087031,46.89
random,gsc-ca,GraphSetConv-CrossAttn,0,128,2519044,18.733620719450368,13.561505899131298,0.1134516428364829,0.39987632081784535,52.77
random,gcn-ds,GCN+DeepSets,0,128,1295233,17.676984141031415,12.865491979420185,0.21063961426563482,0.48559109337622197,9.59
random,gcn-st,GCN+SetTransformer,0,128,1428097,18.755367215117932,13.44376582235098,0.11139218937832407,0.3872787291049598,16.11
