model_key,model_name,seed,params,epoch,train_loss,val_overall_mae,val_mae__sterimol_B5
gsc-bc,GraphSetConv-PaiNN-Broadcast,0,1382789,1,0.5726397812201832,0.6726028323173523,0.6726028323173523
gsc-bc,GraphSetConv-PaiNN-Broadcast,0,1382789,2,0.49110308555718063,0.5127844214439392,0.5127844214439392
gsc-bc,GraphSetConv-PaiNN-Broadcast,0,1382789,3,0.41556926658908744,0.5691026449203491,0.5691026449203491
gsc-bc,GraphSetConv-PaiNN-Broadcast,0,1382789,4,0.3996929149820879,0.43769195675849915,0.43769195675849915
gsc-bc,GraphSetConv-PaiNN-Broadcast,0,1382789,5,0.3832605093937113,0.40755611658096313,0.40755611658096313
gsc-bc,GraphSetConv-PaiNN-Broadcast,0,1382789,6,0.3560223439176658,0.4464576542377472,0.4464576542377472
gsc-bc,GraphSetConv-PaiNN-Broadcast,0,1382789,7,0.32153607574231496,0.4437352418899536,0.4437352418899536
gsc-bc,GraphSetConv-PaiNN-Broadcast,0,1382789,8,0.31074172570533076,0.3955816328525543,0.3955816328525543
gsc-bc,GraphSetConv-PaiNN-Broadcast,0,1382789,9,0.30645442242231596,0.41142377257347107,0.41142377257347107
gsc-bc,GraphSetConv-PaiNN-Broadcast,0,1382789,10,0.2958115806621302,0.35944607853889465,0.35944607853889465
gsc-ca,GraphSetConv-PaiNN-CrossAttn,0,1581701,1,0.5836208391090782,0.8104983568191528,0.8104983568191528
gsc-ca,GraphSetConv-PaiNN-CrossAttn,0,1581701,2,0.47445665670363285,0.49746471643447876,0.49746471643447876
gsc-ca,GraphSetConv-PaiNN-CrossAttn,0,1581701,3,0.44617341900618257,0.5159987807273865,0.5159987807273865
gsc-ca,GraphSetConv-PaiNN-CrossAttn,0,1581701,4,0.4212937328559698,0.561307430267334,0.561307430267334
gsc-ca,GraphSetConv-PaiNN-CrossAttn,0,1581701,5,0.3671994135469802,0.4032360315322876,0.4032360315322876
gsc-ca,GraphSetConv-PaiNN-CrossAttn,0,1581701,6,0.35412196046629885,0.46345654129981995,0.46345654129981995
gsc-ca,GraphSetConv-PaiNN-CrossAttn,0,1581701,7,0.33281175056763995,0.41737276315689087,0.41737276315689087
gsc-ca,GraphSetConv-PaiNN-CrossAttn,0,1581701,8,0.3215265491390755,0.3518558740615845,0.3518558740615845
gsc-ca,GraphSetConv-PaiNN-CrossAttn,0,1581701,9,0.30646658068587984,0.3796747922897339,0.3796747922897339
gsc-ca,GraphSetConv-PaiNN-CrossAttn,0,1581701,10,0.2874553415162787,0.37162673473358154,0.37162673473358154
painn-ds,PaiNN+DeepSets,0,802817,1,0.6904058791216785,0.9175190329551697,0.9175190329551697
painn-ds,PaiNN+DeepSets,0,802817,2,0.5881828135822799,0.7385278344154358,0.7385278344154358
painn-ds,PaiNN+DeepSets,0,802817,3,0.5230525279242689,0.5761603713035583,0.5761603713035583
painn-ds,PaiNN+DeepSets,0,802817,4,0.4422644330102875,0.4775240123271942,0.4775240123271942
painn-ds,PaiNN+DeepSets,0,802817,5,0.40271877317687643,0.5273182392120361,0.5273182392120361
painn-ds,PaiNN+DeepSets,0,802817,6,0.37041911560335433,0.44740167260169983,0.44740167260169983
