protocol,model_key,model_name,seed,hidden,params,rmse,mae,r2,pearson,wall_seconds
random,gsc-bc,GraphSetConv-Broadcast,0,128,1825156,19.159636777708165,14.001734692752361,0.07267167362136284,0.3849824585138397,31.53
random,gsc-ca,GraphSetConv-CrossAttn,0,128,2024068,18.400942150210245,13.293696606457234,0.14465936880581232,0.43343800878603694,27.64
random,gcn-ds,GCN+DeepSets,0,128,1295233,17.676984141031415,12.865491979420185,0.21063961426563482,0.48559109337622197,11.88
random,gcn-st,GCN+SetTransformer,0,128,1428097,18.755367215117932,13.44376582235098,0.11139218937832407,0.3872787291049598,17.27
