condition,epoch,train_loss,val_score
A,0,0.6887497352926355,0.7169560595322466
A,1,0.6690012843985307,0.7311304039688165
A,2,0.6049135429294485,0.7633770375620127
A,3,0.580034151673317,0.7653260099220411
A,4,0.5723990813681954,0.7617824238128987
A,5,0.5465884451803408,0.7552267895109851
A,6,0.5266511589288712,0.7929659815733522
A,7,0.5174419605418256,0.7805634301913537
A,8,0.503951747166483,0.7417611622962438
A,9,0.49619206864582865,0.8028880226789511
A,10,0.4995862574953782,0.8161764705882353
A,11,0.47700584875909907,0.8218462083628633
A,12,0.4661911710312492,0.8262756909992913
A,13,0.46004947627845566,0.8174167257264352
A,14,0.4616414418346004,0.8083805811481218
A,15,0.44931967752544505,0.8284018426647768
A,16,0.43242519937063517,0.8321226080793763
A,17,0.4422080956007305,0.8363749114103473
A,18,0.43143014100037125,0.8457654145995748
A,19,0.4303863248542735,0.8383238837703757
A,20,0.4629165216496116,0.834603118355776
A,21,0.43434661156252813,0.8438164422395464
A,22,0.42176398595697,0.8337172218284904
A,23,0.4322847076936772,0.8331856839121191
A,24,0.43250742907586853,0.8377923458540043
A,25,0.42191149764939356,0.8363749114103471
A,26,0.4119465798139572,0.8473600283486888
A,27,0.4009793514483853,0.8450566973777462
A,28,0.39953112131670904,0.8450566973777462
A,29,0.3924661568905178,0.8225549255846918
A,30,0.3973914235830307,0.8441708008504607
A,31,0.37285124471313075,0.8420446491849752
A,32,0.3805083808930297,0.8161764705882353
A,33,0.4021229622395415,0.8498405386250886
A,34,0.3889851519151738,0.8328313253012049
A,35,0.4013473054296092,0.827338766832034
A,36,0.38264507408204834,0.8434620836286322
A,37,0.37312856963590574,0.848954642097803
A,38,0.38120837274350616,0.8252126151665485
A,39,0.35324438465268987,0.833008504606662
A,40,0.3611862482993226,0.8470056697377747
A,41,0.3730796583388981,0.8392097802976612
A,42,0.3882442214771321,0.8213146704464919
A,43,0.3565355758917959,0.8459425939050319
A,44,0.3504597728973941,0.8420446491849752
A,45,0.35545450762698527,0.8395641389085755
A,46,0.36468600246467087,0.8478915662650601
A,47,0.3586676140364848,0.8441708008504607
A,48,0.3575106216104407,0.8422218284904324
A,49,0.36369489172571584,0.8539156626506024
A,50,0.3410889600452624,0.8393869596031184
A,51,0.3542995684240994,0.8358433734939759
A,52,0.33939691554558904,0.8510807937632885
A,53,0.34866511076688766,0.848954642097803
A,54,0.3486601141722579,0.8493090007087172
A,55,0.3412810854221645,0.8425761871013466
A,56,0.34875190454094035,0.8340715804394048
A,57,0.31304459469883067,0.8280474840538625
A,58,0.3250306119260035,0.8432849043231752
A,59,0.31962875943434865,0.860648476257973
A,60,0.3263650548301245,0.8556874557051737
A,61,0.2991313902955306,0.8441708008504607
A,62,0.3074810912734584,0.8521438695960313
A,63,0.3203101428715806,0.844525159461375
A,64,0.3112074760229964,0.8500177179305457
A,65,0.32375590738497284,0.8571048901488306
A,66,0.30912366587864726,0.8500177179305457
A,67,0.3123367656218378,0.8429305457122609
A,68,0.3187865897228843,0.8459425939050319
A,69,0.2921296518884207,0.8236180014174344
A,70,0.33301417470762606,0.8569277108433735
A,71,0.2961745464095944,0.856218993621545
A,72,0.2867844449846368,0.8365520907158044
A,73,0.3062743540657194,0.8406272147413182
A,74,0.30693715810775757,0.8324769666902906
A,75,0.3072671984371386,0.8539156626506024
A,76,0.3139091690904216,0.8496633593196314
A,77,0.2955324267478366,0.8372608079376329
A,78,0.30660743736907053,0.8625974486180015
A,79,0.2900493418503749,0.8427533664068037
A,80,0.2744525294554861,0.840450035435861
A,81,0.2873034673301797,0.8427533664068037
A,82,0.2800172516389897,0.8477143869596031
A,83,0.311194259673357,0.846119773210489
A,84,0.29402251149478714,0.8512579730687455
A,85,0.2795277206521285,0.8360205527994331
A,86,0.30455711856484413,0.8291105598866052
A,87,0.29634178116133336,0.841867469879518
A,88,0.27804795280098915,0.8493090007087173
A,89,0.2789175742746968,0.8624202693125443
A,90,0.2503326247005086,0.8524982282069453
A,91,0.2750755909242128,0.86330616583983
A,92,0.2827909412352662,0.8370836286321757
A,93,0.2932796486114201,0.8448795180722891
A,94,0.2855274875305201,0.8390326009922041
A,95,0.27628887483948156,0.8337172218284905
A,96,0.25601681027757495,0.833008504606662
A,97,0.25884616727891724,0.8438164422395464
A,98,0.292201501954543,0.8317682494684621
A,99,0.3065542455174421,0.8471828490432317
A,100,0.2803240685086501,0.8372608079376329
A,101,0.26667020489510734,0.8310595322466336
A,102,0.27759313034383876,0.8331856839121191
A,103,0.27895348597514,0.8379695251594614
A,104,0.28647955114904206,0.8360205527994331
A,105,0.26521628291199084,0.8393869596031184
A,106,0.26444228120932456,0.846119773210489
A,107,0.25753298284191833,0.8230864635010631
A,108,0.2602429517397755,0.8395641389085755
A,109,0.25041768484209714,0.844525159461375
A,110,0.2487378379232005,0.8484231041814316
A,111,0.2548814339465217,0.8450566973777464
A,112,0.24156445068748375,0.8322997873848335
A,113,0.2598068447489488,0.843284904323175
A,114,0.254851800046469,0.8429305457122609
A,115,0.2417299692568026,0.8509036144578312
A,116,0.25013437906378194,0.8342487597448618
A,117,0.24259214632605253,0.8418674698795181
A,118,0.23527242115845806,0.8447023387668321
A,119,0.25669179739136444,0.8408043940467753
A,120,0.26161426717513486,0.8324769666902906
A,121,0.23717228715357028,0.8338944011339475
E,0,0.6903539613673562,0.6143692416725727
E,1,0.6852845533898002,0.6384656272147413
E,2,0.6639177516887063,0.6540574060949681
E,3,0.6452671085533342,0.698706591070163
E,4,0.6364552284541883,0.7045535081502481
E,5,0.6219305490192614,0.70012402551382
E,6,0.608693537743468,0.7265237420269314
E,7,0.5892967338624754,0.7344968107725016
E,8,0.5805881666509729,0.7243975903614458
E,9,0.5743593338288759,0.7453047484053862
E,10,0.563958507619406,0.7557583274273565
E,11,0.5527568286971042,0.7444188518781006
E,12,0.541731593640227,0.7449503897944719
E,13,0.5378799407105697,0.7732990786676117
E,14,0.5398925284021779,0.7529234585400425
E,15,0.5136881533421969,0.7678065201984408
E,16,0.5232889064048466,0.7447732104890149
E,17,0.5221800270833468,0.7483167965981573
E,18,0.5083494860874979,0.765148830616584
E,19,0.4907408317452983,0.7639085754783841
E,20,0.5094709678700096,0.7610737065910701
E,21,0.5028637969180157,0.7633770375620128
E,22,0.49473715455908523,0.7304216867469879
E,23,0.5036878013297131,0.7717044649184974
E,24,0.49772789995921285,0.7771970233876683
E,25,0.5048206315228814,0.763731396172927
E,26,0.4889122906484102,0.7724131821403261
E,27,0.49656277345983607,0.7860559886605243
E,28,0.48057746808779866,0.7786144578313253
E,29,0.4702923352781095,0.7837526576895818
E,30,0.47462709012784454,0.7871190644932672
E,31,0.4682711888300745,0.7851700921332389
E,32,0.45174615006697805,0.7977498228206945
E,33,0.44642877814016846,0.7958008504606663
E,34,0.45253828795332657,0.7991672572643514
E,35,0.43977509438991547,0.8018249468462084
E,36,0.43868763940898997,0.7991672572643514
E,37,0.46408820152282715,0.7858788093550673
E,38,0.4497496242585935,0.7897767540751239
E,39,0.44681725376530695,0.7965095676824947
E,40,0.43196820663778407,0.8011162296243799
E,41,0.4422894128059086,0.7973954642097804
E,42,0.43879612966587667,0.8082034018426647
E,43,0.42167395823880244,0.8002303330970942
E,44,0.42162673802752243,0.7981041814316088
E,45,0.4357583146346243,0.798458540042523
E,46,0.43035753620298284,0.7942062367115521
E,47,0.42319811488452713,0.8126328844790929
E,48,0.4183522784396222,0.8149362154500354
E,49,0.41271717532684926,0.79987597448618
E,50,0.4117367542103717,0.8035967399007795
E,51,0.4272275335694614,0.8202515946137491
E,52,0.434641296142026,0.8122785258681786
E,53,0.4089517311045998,0.8193656980864635
E,54,0.4259364063802518,0.8167080085046067
E,55,0.4062853981005518,0.8149362154500355
E,56,0.4157936698512027,0.8096208362863216
E,57,0.40859731090696233,0.8074946846208363
E,58,0.4059236975092637,0.8179482636428066
E,59,0.405626880103036,0.8257441530829199
E,60,0.39176888685477407,0.8312367115520908
E,61,0.39751141635995163,0.8151133947554926
E,62,0.39458612195755305,0.8252126151665485
E,63,0.39485364642582443,0.8271615875265769
E,64,0.3820508879266287,0.8260985116938342
E,65,0.39108852179426895,0.8188341601700921
E,66,0.409308008457485,0.8147590361445782
E,67,0.38061491400003433,0.8154677533664069
E,68,0.3930286980773273,0.7922572643515237
E,69,0.3780345430499629,0.818656980864635
E,70,0.39067364680139643,0.8259213323883771
E,71,0.3957878096323264,0.8106839121190644
E,72,0.386448825268369,0.7993444365698087
E,73,0.37757402070258794,0.8190113394755493
E,74,0.39284782268499074,0.818656980864635
E,75,0.3830934331605309,0.8305279943302623
E,76,0.3839795452199484,0.8236180014174345
E,77,0.37415167846177755,0.8222005669737774
E,78,0.37799961904161855,0.8032423812898654
E,79,0.3629729826199381,0.8317682494684621
E,80,0.3739684596657753,0.8246810772501771
E,81,0.36554750721705587,0.8269844082211197
E,82,0.3799029725946878,0.8032423812898655
E,83,0.38078341789935766,0.8138731396172928
E,84,0.36972878285144506,0.8234408221119773
E,85,0.3856908471176499,0.8183026222537207
E,86,0.36882171583803075,0.8285790219702338
E,87,0.36806279891415644,0.830173635719348
E,88,0.3561511925960842,0.8236180014174345
E,89,0.3777032482780908,0.8112154500354358
E,90,0.3677932353396165,0.8248582565556343
E,91,0.3580778021561472,0.8255669737774628
E,92,0.36599693761060115,0.8183026222537207
E,93,0.358232120150014,0.8232636428065201
E,94,0.3450457916447991,0.8262756909992913
E,95,0.38468406467061295,0.8167080085046067
E,96,0.360606398237379,0.8223777462792345
E,97,0.35960127962263005,0.8165308291991494
E,98,0.34749426065306915,0.8285790219702339
E,99,0.35919465869665146,0.8317682494684622
E,100,0.3556691549326244,0.8321226080793763
E,101,0.3503950104901665,0.8372608079376329
E,102,0.3536115967129406,0.8211374911410347
E,103,0.3453442246506089,0.8324769666902905
E,104,0.3397191139428239,0.818656980864635
E,105,0.3301881877215285,0.8177710843373495
E,106,0.35723057938249486,0.8216690290574061
E,107,0.33254736897192505,0.8381467044649185
E,108,0.33636834197922755,0.8133416017009213
E,109,0.34474358864520727,0.8223777462792345
E,110,0.33149585676820653,0.8195428773919206
E,111,0.34970546553009435,0.8071403260099221
E,112,0.31892247321574313,0.8276931254429483
E,113,0.34596188523267446,0.8338944011339475
E,114,0.3232633973422803,0.8337172218284905
E,115,0.34081244821611206,0.8128100637845499
E,116,0.31967750466183614,0.8252126151665485
E,117,0.3326878888826621,0.8377923458540043
E,118,0.329691307717248,0.825921332388377
E,119,0.3325732401327083,0.8298192771084337
E,120,0.3269478861046465,0.8328313253012047
E,121,0.3432553139956374,0.8163536498936924
E,122,0.3188677983064401,0.8255669737774628
E,123,0.338266180141976,0.8385010630758327
E,124,0.3296208585563459,0.8411587526576896
E,125,0.3283572906726285,0.8151133947554925
E,126,0.3405353822990468,0.8260985116938342
E,127,0.3169906700128003,0.8198972360028349
E,128,0.32542463744941513,0.8395641389085754
E,129,0.32244914025068283,0.8312367115520908
E,130,0.33017792827204656,0.8429305457122608
E,131,0.3287730171884361,0.8140503189227498
E,132,0.31947344149413864,0.8361977321048901
E,133,0.32519594148585673,0.8315910701630049
E,134,0.3239879255232058,0.8356661941885187
E,135,0.3320355964334388,0.833185683912119
E,136,0.31240923232153844,0.8429305457122608
E,137,0.34180477143902527,0.8450566973777464
E,138,0.3190478298224901,0.8264528703047485
E,139,0.29969383187984167,0.8361977321048902
E,140,0.28716015541239787,0.8301736357193481
E,141,0.30158192860452754,0.8308823529411765
E,142,0.3143262808260165,0.8434620836286322
E,143,0.29097506227461917,0.8347802976612331
E,144,0.32632738626316976,0.8464741318214032
E,145,0.31532267559515803,0.8117469879518072
E,146,0.30053419384517166,0.8399184975194897
E,147,0.3186572786224516,0.8443479801559178
E,148,0.30153907757056386,0.8493090007087173
E,149,0.3127145786818705,0.8425761871013465
E,150,0.3054262850629656,0.8232636428065202
E,151,0.2971263974905014,0.8486002834868888
E,152,0.2982216587192134,0.8445251594613749
E,153,0.32873693892830297,0.8284018426647768
E,154,0.3116401343753463,0.8503720765414599
E,155,0.30840230301806804,0.8484231041814316
